UID,NAME,PROV,CITY,DIST,ADDRESS,TEL,LONG,LAT
d24e48ebedaf28adafee7ac0,水岸花城商务酒店,河北省,保定市,涿州市,涿州市城西北街252号,"(0312)5528888,(0312)6671555",115.975647,39.522755
1b2ef597fb6a3dd826d2bb4d,汇元酒店,河北省,保定市,涿州市,河北省保定市涿州市范阳中路496号,(0312)3973228,116.028655,39.49056
17f365e61cec81d49222e062,长城酒店,河北省,保定市,涿州市,河北省保定市涿州市城西南街242号,13903327612,115.969792,39.472708
5487bba3c8201fffa4c75662,阳光大酒店,河北省,保定市,涿州市,保定市涿州市范阳东路1号,(0312)6673330,116.049942,39.491618
21267cba29da96b942d63e81,阿尔卡迪亚国际酒店,河北省,廊坊市,广阳区,河北省廊坊市祥云道83号(会展中心旁),(0316)2509898,116.7733,39.571187
6e4e0847c8803eb8cd04efb6,和平饭店（酒店部）,河北省,廊坊市,广阳区,河北省廊坊市广阳区和平路99号,,116.733626,39.543816
a5ef680f3f2fa8ceb8df8f8c,燕青·仕博酒店,河北省,廊坊市,广阳区,银河北路街道广阳道228号,(0316)2315111,116.692269,39.543613
5ce2637d94285448af31e59a,碧海宾馆,河北省,廊坊市,广阳区,河北省廊坊市广阳区广阳道156号,(0316)2335888,116.711091,39.544902
1458d1b4fe5ade6382288a36,艾力枫社高尔夫酒店,河北省,廊坊市,广阳区,金源道 清华科技园对面,,116.745095,39.574697
5e0ec055269911f36b49f3a0,廊坊阿卡酒店(盛江南会所分店),,,,河北省廊坊市广阳区广阳道盛江南会所(劳动局东),,116.727792,39.544906
eaa2490d35c26ae38a36ee27,廊坊星期六主题宾馆,河北省,廊坊市,广阳区,祥云道116号,(0316)6086789,116.772514,39.572389
d08a834ee67f1e9843024560,廊坊新绎七修酒店,,,,广阳区经济技术开发区金源道(清华科技园对面),,116.744381,39.574942
f523e847985b5bed077ce8da,博奥酒店（廊坊高铁站店）,河北省,廊坊市,安次区,"常甫路47号(距高铁站南200米,紧邻长途汽车站,靠近北京南苑机场)",(0316)2126789,116.714427,39.510104
196ffbcc12c0410aa11de91b,廊坊一择主题客栈,河北省,廊坊市,广阳区,新世纪步行街五大街北外街京客隆西后门金手指足道旁,(0316)2763121,116.711861,39.539725
2b2581b486a741ed871541e1,悦豪宾馆,河北省,廊坊市,广阳区,永兴北路明珠超市对面华夏幸福城欣园北门，幸福城朗园南门,(0316)2032666,116.687858,39.547874
e9592606603bc59e9d9d6833,廊坊泽源宾馆,河北省,廊坊市,广阳区,广阳道45-2号,18931658149,116.71766,39.54439
bf29b70255c573e708b93aa2,廊坊宾馆-贵宾楼,河北省,廊坊市,广阳区,解放道118号廊坊宾馆贵宾楼,(0316)2311668,116.721233,39.522521
089bf946136d5b5330169be4,祥雨商务宾馆(No.2),河北省,廊坊市,广阳区,廊坊廊坊市广阳区第五大街北外街30号甲,0316-2339000,116.706856,39.539755
7f2b47691e37c7ba32870a5e,欣悦快捷宾馆,河北省,廊坊市,广阳区,廊坊广阳区新华路179号(党校北200米),(0316)2275988,116.713547,39.542015
ac6a0c22aeb221b1e507389c,佳和旅馆,,,,廊坊廊坊开发区桐柏村云鹏道173号（廊坊大学城南门）,(0316)7916222,116.751143,39.591701
5ffb18161bc6465f6f4760f2,天坤宾馆,河北省,廊坊市,广阳区,廊坊廊坊广阳区新华路179号,5120048,116.713425,39.542156
c41f7d9cfb2b921126e0a0ef,博林宾馆,河北省,廊坊市,广阳区,光明东道85号李庄村西(旧货市场对面),"13313266688,(0316)2613300",116.75227,39.520103
8b7396832c33a4a76b49f3bf,廊坊新绎七修酒店-绎如堂,,,,廊坊新绎七修酒店绎如堂,,116.76347,39.576091
0ce65c2de131f3402c47338c,廊坊北京外企联谊中心,河北省,廊坊市,广阳区,廊坊河北廊坊市经济开发区华祥路28号,,116.771279,39.591366
6d00cfb6a9c7f9a49e95de52,家馨宾馆,河北省,廊坊市,广阳区,银河北路碾子营（通天龙足道北行300米路西）,"1,331,561,460,915,090,000,000",116.703245,39.546806
6b2c3d60ea568cb61e1d11b9,廊坊宾馆-接待中心,,,,解放道118号,,116.720671,39.522137
c5bcbaa508a16a7ff5c59cbe,天津今日阳光商务会馆,天津市,天津市,宝坻区,天津市宝坻区京津新城和园商业街001E3（此地址为接待处地址）,(022)29696666,117.378444,39.546784
4edf9fbff12f1094cc06a4c4,天龙狩猎山庄,北京市,北京市,房山区,蒲洼乡黄土岭,(010)61371400,115.563738,39.771556
eef2d528092cbada3be4a6cb,汇通农家院,北京市,北京市,房山区,北京市房山区十渡镇七渡村十渡景区七渡孤山寨景区,"1,371,673,698,313,520,000,000",115.624941,39.651809
bf29b702d72af1e409b93ac9,鑫淼森农家乐,北京市,北京市,房山区,十渡镇七渡村和喜农家院对面,"13264266836,(010)61344060,13717821244",115.62375,39.651871
264f7375c5e1c765c8213d1e,奇峡假日酒店,北京市,北京市,房山区,北京市房山区十渡风景区涞宝路七渡公交站,(010)61340003,115.625812,39.650858
4981e89a27cae719c51b75b0,北京白草畔鑫悦农家院27号,北京市,北京市,房山区,北京北京房山区霞云岭乡司马台村1区27号,(010)60369629,115.641051,39.789006
783a71fedce027ca25d2bb57,北京霞云岭向阳坡山庄,北京市,北京市,房山区,北京北京霞云岭乡石板台村后港24号,13701009426,115.701142,39.734975
5a9fa9e060c20234a11de9fa,诚通颐年山庄,北京市,北京市,房山区,北京市房山区河北镇黄土坡村(石花洞风景区内),"(010)60313120,(010)57895414",115.974646,39.816307
